faiss_id,passage_id
457,bb_4705::r144::c12
458,bb_4705::r144::c13
459,bb_4705::r144::c14
460,bb_4705::r144::c15
461,bb_4705::r144::c16
462,bb_4705::r144::c17
463,bb_4705::r144::c18
464,bb_4705::r144::c19
465,bb_4705::r144::c2
466,bb_4705::r144::c3
467,bb_4705::r144::c4
468,bb_4705::r144::c5
469,bb_4705::r144::c6
470,bb_4705::r144::c7
471,bb_4705::r144::c8
472,bb_4705::r144::c9
473,bb_4965::r10::c0
474,bb_4965::r10::c1
475,bb_4965::r10::c10
476,bb_4965::r10::c11
477,bb_4965::r10::c12
478,bb_4965::r10::c13
479,bb_4965::r10::c14
480,bb_4965::r10::c2
481,bb_4965::r10::c3
482,bb_4965::r10::c4
483,bb_4965::r10::c5
484,bb_4965::r10::c6
485,bb_4965::r10::c7
486,bb_4965::r10::c8
487,bb_4965::r10::c9
488,bb_5043::r363::c0
489,bb_5043::r363::c1
490,bb_5043::r363::c2
491,bb_5043::r363::c3
492,bb_5043::r363::c4
493,bb_5043::r363::c5
494,bb_5241::r96::c0
495,bb_5241::r96::c1
496,bb_5241::r96::c10
497,bb_5241::r96::c11
498,bb_5241::r96::c12
499,bb_5241::r96::c13
500,bb_5241::r96::c14
501,bb_5241::r96::c15
502,bb_5241::r96::c16
503,bb_5241::r96::c17
504,bb_5241::r96::c18
505,bb_5241::r96::c19
506,bb_5241::r96::c2
507,bb_5241::r96::c20
508,bb_5241::r96::c21
509,bb_5241::r96::c22
510,bb_5241::r96::c23
511,bb_5241::r96::c24
512,bb_5241::r96::c25
513,bb_5241::r96::c26
514,bb_5241::r96::c27
515,bb_5241::r96::c28
516,bb_5241::r96::c29
517,bb_5241::r96::c3
518,bb_5241::r96::c30
519,bb_5241::r96::c31
520,bb_5241::r96::c32
521,bb_5241::r96::c33
522,bb_5241::r96::c34
523,bb_5241::r96::c35
524,bb_5241::r96::c36
525,bb_5241::r96::c37
526,bb_5241::r96::c38
527,bb_5241::r96::c39
528,bb_5241::r96::c4
529,bb_5241::r96::c40
530,bb_5241::r96::c41
531,bb_5241::r96::c42
532,bb_5241::r96::c43
533,bb_5241::r96::c44
534,bb_5241::r96::c45
535,bb_5241::r96::c46
536,bb_5241::r96::c47
537,bb_5241::r96::c48
538,bb_5241::r96::c49
539,bb_5241::r96::c5
540,bb_5241::r96::c50
541,bb_5241::r96::c51
542,bb_5241::r96::c52
543,bb_5241::r96::c53
544,bb_5241::r96::c54
545,bb_5241::r96::c55
546,bb_5241::r96::c56
547,bb_5241::r96::c57
548,bb_5241::r96::c58
549,bb_5241::r96::c59
550,bb_5241::r96::c6
551,bb_5241::r96::c60
552,bb_5241::r96::c61
553,bb_5241::r96::c62
554,bb_5241::r96::c63
555,bb_5241::r96::c64
556,bb_5241::r96::c65
557,bb_5241::r96::c66
558,bb_5241::r96::c67
559,bb_5241::r96::c68
560,bb_5241::r96::c69
561,bb_5241::r96::c7
562,bb_5241::r96::c70
563,bb_5241::r96::c71
564,bb_5241::r96::c72
565,bb_5241::r96::c73
566,bb_5241::r96::c74
567,bb_5241::r96::c75
568,bb_5241::r96::c8
569,bb_5241::r96::c9
570,bb_5659::r422::c0
571,bb_5659::r422::c1
572,bb_5659::r422::c2
573,bb_5659::r422::c3
574,bb_5659::r422::c4
575,bb_6124::r115::c0
576,bb_6124::r115::c1
577,bb_6124::r115::c10
578,bb_6124::r115::c11
579,bb_6124::r115::c12
580,bb_6124::r115::c13
581,bb_6124::r115::c14
582,bb_6124::r115::c15
583,bb_6124::r115::c2
584,bb_6124::r115::c3
585,bb_6124::r115::c4
586,bb_6124::r115::c5
587,bb_6124::r115::c6
588,bb_6124::r115::c7
589,bb_6124::r115::c8
590,bb_6124::r115::c9
591,bb_6443::r274::c0
592,bb_6443::r274::c1
593,bb_6443::r274::c10
594,bb_6443::r274::c11
595,bb_6443::r274::c12
596,bb_6443::r274::c13
